cut, efficiency_GMSB, efficiency_QCD, efficiency_GJets 
0.0,1.0,1.0,1.0
5e-05,1.0,1.0,1.0
0.0001,1.0,1.0,1.0
0.00015,1.0,1.0,1.0
0.0002,1.0,1.0,1.0
0.00025,1.0,1.0,1.0
0.0003,1.0,1.0,1.0
0.00035,1.0,1.0,1.0
0.0004,1.0,1.0,1.0
0.00045,1.0,1.0,1.0
0.0005,1.0,1.0,1.0
0.00055,1.0,1.0,1.0
0.0006,1.0,1.0,1.0
0.00065,1.0,1.0,1.0
0.0007,1.0,1.0,1.0
0.00075,1.0,1.0,1.0
0.0008,1.0,1.0,1.0
0.00085,1.0,1.0,1.0
0.0009,1.0,1.0,1.0
0.00095,1.0,1.0,1.0
0.001,1.0,1.0,1.0
0.00105,1.0,1.0,1.0
0.0011,1.0,1.0,1.0
0.00115,1.0,1.0,1.0
0.0012,0.999914619916,0.996796748265,0.999978851895
0.00125,0.999850584854,0.99499440895,0.999961314442
0.0013,0.99976520477,0.993240340244,0.999936813589
0.00135,0.999686939693,0.991459296786,0.999902770299
0.0014,0.999615789623,0.989484461035,0.999865890067
0.00145,0.99953040954,0.986834901566,0.999820499013
0.0015,0.999445029456,0.985491310492,0.999786713626
0.00155,0.999380994393,0.98383147595,0.999748285972
0.0016,0.999309844324,0.982076697382,0.999700573784
0.00165,0.999281384296,0.980779779726,0.999655440634
0.0017,0.99915331417,0.978784890377,0.999591480512
0.00175,0.999025244045,0.976958238293,0.999539126057
0.0018,0.998897173919,0.974723948025,0.999460723327
0.00185,0.998406238438,0.966393541393,0.999321713223
0.0019,0.997829922873,0.958602097393,0.999157170652
0.00195,0.997274952329,0.950260687902,0.99897663805
0.002,0.996741326807,0.943194012883,0.998817253552
0.00205,0.996029826109,0.933483279825,0.998562702583
0.0021,0.994891424994,0.917026374386,0.99818435783
0.00215,0.993753023878,0.903899076097,0.997820971492
0.0022,0.991974272135,0.879644515368,0.997311869554
0.00225,0.99062242081,0.865942228956,0.996868790968
0.0023,0.988466573697,0.84139449527,0.996295213101
0.00235,0.986196886473,0.817008610092,0.995695329054
0.0024,0.983464723795,0.78954245675,0.99506784931
0.00245,0.980725446111,0.761170164718,0.994310386092
0.0025,0.978925349347,0.741495810306,0.99366640051
0.00255,0.976477786948,0.716278676867,0.992897589529
0.0026,0.973944844466,0.690285131996,0.992076681996
0.00265,0.971824572388,0.670610600119,0.991304002459
0.0027,0.970003130603,0.65297958313,0.990586514318
0.00275,0.967833053476,0.632633876845,0.989736463665
0.0028,0.965748356433,0.614765233592,0.988932577779
0.00285,0.963855764579,0.596366146048,0.988086653586
0.0029,0.962105472863,0.579052969716,0.987241761008
0.00295,0.959985200785,0.560403833325,0.986353798509
0.003,0.958220679056,0.54442005083,0.98555042843
0.00305,0.956641147508,0.530132660763,0.984698572451
0.0031,0.955154111051,0.517588159078,0.983882822993
0.00315,0.95374533967,0.50696773802,0.983126649294
0.0032,0.952066198025,0.492145467026,0.982300583688
0.00325,0.950942026923,0.481623716769,0.981517330098
0.0033,0.949711130717,0.471640574214,0.980747745406
0.00335,0.948537154566,0.462169597006,0.979963976009
0.0034,0.947035888095,0.450237883589,0.979101030171
0.00345,0.945783646868,0.441323438095,0.9783190661
0.0035,0.944623900731,0.431845007337,0.977455604454
0.00355,0.943784329909,0.423870596438,0.976670803442
0.0036,0.942574778723,0.414934855088,0.975851185429
0.00365,0.941471952643,0.407052726233,0.975069995069
0.0037,0.940482966673,0.399434665998,0.974274104197
0.00375,0.939472635683,0.392586983369,0.97349239803
0.0038,0.938440959672,0.385515516782,0.97269728087
0.00385,0.937537353787,0.379539544542,0.971974634654
0.0039,0.936740473006,0.37323650344,0.971203760443
0.00395,0.935986282267,0.367137015233,0.970414317164
0.004,0.935160941458,0.360810371224,0.969666654287
0.00405,0.934534820844,0.355288000725,0.968872052934
0.0041,0.933737940063,0.349868205269,0.968147085585
0.00415,0.933083359422,0.344916741187,0.967420055006
0.0042,0.93235762871,0.339909198018,0.966687350545
0.00425,0.931767083132,0.335446651306,0.965944845743
0.0043,0.931162307539,0.330882771812,0.965164944901
0.00435,0.930457921849,0.326771784197,0.964431208826
0.0044,0.929781996186,0.322421395663,0.963686640794
0.00445,0.92909184051,0.318437295859,0.962919893042
0.0045,0.928394569827,0.314383807057,0.962093311628
0.00455,0.927761334206,0.31041354956,0.961312121268
0.0046,0.927249053704,0.306622354722,0.960592827801
0.00465,0.926587358056,0.302771708952,0.959750256356
0.0047,0.926053732533,0.299001987436,0.958923159135
0.00475,0.925541452031,0.295303429573,0.958111536136
0.0048,0.924950906452,0.291771156857,0.957358973089
0.00485,0.924424395936,0.288212086854,0.956573140463
0.0049,0.924054415573,0.28485479509,0.955815677245
0.00495,0.923435409967,0.281327136476,0.954998638268
0.005,0.92281640436,0.277946951667,0.954224153405
0.00505,0.922282778837,0.274808652294,0.953476232625
0.0051,0.921763383328,0.27164958946,0.952701231954
0.00515,0.92126533284,0.268700290813,0.951948926811
0.0052,0.920781512366,0.265723130086,0.951254134197
0.00525,0.920290576885,0.26261588717,0.950503634379
0.0053,0.91987790648,0.259780343889,0.949819931625
0.00535,0.919429661041,0.256761656243,0.949050346932
0.0054,0.918881805504,0.253884053645,0.948275604165
0.00545,0.918447790079,0.250833422214,0.94748151862
0.0055,0.918035119674,0.248192203622,0.946748040448
0.00555,0.917593989242,0.245412916895,0.946017141313
0.0056,0.917145743803,0.242814467482,0.945323638217
0.00565,0.916690383357,0.240203240555,0.944616982031
0.0057,0.916249252924,0.237404077695,0.943897946467
0.00575,0.915801007485,0.234973155686,0.943173237022
0.0058,0.915345647039,0.232306027136,0.942475349563
0.00585,0.91491874662,0.229770932895,0.941767145955
0.0059,0.914420696132,0.227289788158,0.941106912439
0.00595,0.914043600763,0.224580422826,0.940429141469
0.006,0.91360247033,0.222229182812,0.939739506929
0.00605,0.913196914933,0.219834286293,0.939076436472
0.0061,0.912834049577,0.217730610611,0.938423682164
0.00615,0.912414264166,0.215447339872,0.937761385418
0.0062,0.91188775365,0.212829546723,0.937087998812
0.00625,0.911290093064,0.210522495612,0.936402490731
0.0063,0.910813387597,0.208322278713,0.935782748098
0.00635,0.910358027151,0.206161281684,0.935181316629
0.0064,0.909973816774,0.204100197714,0.934586848561
0.00645,0.909625181433,0.202170793123,0.933936415386
0.0065,0.909112900931,0.200210332075,0.933334210206
0.00655,0.908700230526,0.198286073983,0.932693835276
0.0066,0.908372940205,0.196457292313,0.93206970828
0.00665,0.90801007485,0.194618395112,0.931477045538
0.0067,0.90754048439,0.192812329023,0.930861945172
0.00675,0.907120698978,0.191026493997,0.930271345659
0.0068,0.906828983692,0.18932850438,0.929620396677
0.00685,0.906480348351,0.187729717959,0.929055329632
0.0069,0.906117482995,0.186085322914,0.928472725134
0.00695,0.90575461764,0.184345983841,0.927850661368
0.007,0.905420212312,0.182772220052,0.927273214945
0.00705,0.905128497026,0.181268200193,0.926695510618
0.0071,0.904786976691,0.179696920921,0.926106974335
0.00715,0.904502376412,0.178206565903,0.925548870691
0.0072,0.904096821015,0.176502719925,0.924988445913
0.00725,0.903840680764,0.1751419147,0.924465159271
0.0073,0.903584540513,0.173755376982,0.923955799429
0.00735,0.903299940234,0.172429177524,0.923419875505
0.0074,0.903058029997,0.171105107651,0.922882662062
0.00745,0.90274496969,0.16967207398,0.922353959441
0.0075,0.902488829439,0.168454660856,0.921842278466
0.00755,0.902033468993,0.167126331812,0.921288559185
0.0076,0.901770213735,0.165908386291,0.920791062914
0.00765,0.901414463386,0.164722739485,0.920291503414
0.0077,0.901222358198,0.163523960234,0.919763574504
0.00775,0.900944872926,0.16237664597,0.919284389397
0.0078,0.900667387654,0.16122915424,0.918775029556
0.00785,0.90041836241,0.160051848312,0.918260253736
0.0079,0.900126647124,0.158955644103,0.917765594406
0.00795,0.899763781769,0.157909307691,0.917330252931
0.008,0.899464951476,0.156851436024,0.916851841536
0.00805,0.899144776162,0.155837753259,0.91635744011
0.0081,0.898902865925,0.154809873256,0.91593009365
0.00815,0.898596920625,0.153772942514,0.915489078293
0.0082,0.898369240402,0.152778248554,0.915055800048
0.00825,0.898084640123,0.151713278268,0.91459105755
0.0083,0.897871189914,0.150744849198,0.914161389957
0.00835,0.897593704642,0.149781744092,0.913741006897
0.0084,0.897323334377,0.14884667853,0.913299991541
0.00845,0.897024504084,0.147881798769,0.912892245764
0.0085,0.896832398896,0.14694229657,0.912467994149
0.00855,0.896597603666,0.14603456069,0.91205251126
0.0086,0.896391268463,0.14522478575,0.911671329566
0.00865,0.896170703247,0.144384486749,0.911283442375
0.0087,0.89592879301,0.143527505994,0.91087930725
0.00875,0.895637077724,0.142635387076,0.910451187079
0.0088,0.895444972536,0.141807510658,0.910052467932
0.00885,0.895245752341,0.14098353848,0.909641885214
0.0089,0.894939807041,0.140057878588,0.909226144422
0.00895,0.894662321769,0.13921474014,0.90882433043
0.009,0.89444887156,0.138476838715,0.908440827603
0.00905,0.894221191337,0.137652334141,0.908031534403
0.0091,0.893972166093,0.13688568331,0.907630752027
0.00915,0.893780060904,0.136084071782,0.907194121033
0.0092,0.893424310556,0.135212183927,0.906794628175
0.00925,0.893217975354,0.134479783932,0.906408804214
0.0093,0.893047215186,0.133656876547,0.90596933628
0.00935,0.892855109998,0.132905132816,0.905586349259
0.0094,0.892655889803,0.132222778084,0.905229152611
0.00945,0.89235705951,0.131511319014,0.904840233805
0.0095,0.892186299343,0.130818493819,0.904487163616
0.00955,0.891915929078,0.130141817981,0.90412248776
0.0096,0.891702478868,0.129493536619,0.903752911733
0.00965,0.891602868771,0.128811181886,0.903367603579
0.0097,0.89134672852,0.128173193521,0.902999574975
0.00975,0.891168853345,0.127512489576,0.90263850977
0.0098,0.891012323192,0.126802982627,0.90226454938
0.00985,0.890827333011,0.126166059054,0.901896262872
0.0099,0.890635227823,0.1255413806,0.901557635291
0.00995,0.890457352648,0.124885823153,0.901199664931
0.01,0.890236787432,0.124280843366,0.900825188734
0.01005,0.890080257279,0.123693077729,0.90049816682
0.0101,0.889916612118,0.12298197359,0.900099447673
0.01015,0.889632011839,0.122370782511,0.899726003091
0.0102,0.889375871588,0.121765980189,0.899351268989
0.01025,0.889247801463,0.121200575201,0.899017541579
0.0103,0.889041466261,0.120629668784,0.898699804199
0.01035,0.888820901044,0.120037289045,0.898361176619
0.0104,0.888557645786,0.11947685309,0.897979221213
0.01045,0.888344195577,0.118934696079,0.897640077825
0.0105,0.88817343541,0.118389877086,0.897330077557
0.01055,0.887967100208,0.117817905876,0.89698964465
0.0106,0.88779634004,0.117286396793,0.896645085284
0.01065,0.887611349859,0.11673607637,0.896292788806
0.0107,0.887405014657,0.116240237846,0.895983304345
0.01075,0.887177334434,0.115723813328,0.895652671779
0.0108,0.887035034294,0.115196563417,0.895320491791
0.01085,0.886842929106,0.114704806599,0.895016681212
0.0109,0.88669351396,0.114218906142,0.894716739189
0.01095,0.88645871873,0.113717211258,0.89440183875
0.011,0.886323533597,0.113231133335,0.894088743638
0.01105,0.886088738367,0.112765641407,0.893776422236
0.0111,0.885953553234,0.112332803126,0.893477253924
0.01115,0.885818368102,0.111863052026,0.893169058982
0.0112,0.885583572872,0.111405900975,0.892866280017
0.01125,0.885427042719,0.110939166789,0.892549574253
0.0113,0.885227822523,0.110486807306,0.892234673814
0.01135,0.885092637391,0.110044385889,0.891889340736
0.0114,0.884936107237,0.109603029265,0.89159404098
0.01145,0.884729772035,0.109170900845,0.891316794484
0.0115,0.884573241882,0.108731673806,0.891034647817
0.01155,0.884409596721,0.108310015849,0.890766427951
0.0116,0.884231721547,0.107866884571,0.89045204332
